АВС/ DEF;От;До;Емкость;Оператор;Регион
909;3450000;3539999;90000;ПАО "Вымпел-Коммуникации";Республика Башкортостан
909;3540000;3619999;80000;ПАО "Вымпел-Коммуникации";Ульяновская обл.
909;3620000;3659999;40000;ПАО "Вымпел-Коммуникации";Самарская обл.
909;3660000;3699999;40000;ПАО "Вымпел-Коммуникации";Республика Марий Эл
909;3700000;3719999;20000;ПАО "Вымпел-Коммуникации";Самарская обл.
909;3720000;3769999;50000;ПАО "Вымпел-Коммуникации";Астраханская обл.
909;3770000;3949999;180000;ПАО "Вымпел-Коммуникации";Волгоградская обл.
909;3950000;3999999;50000;ПАО "Вымпел-Коммуникации";Республика Калмыкия
909;4000000;4429999;430000;ПАО "Вымпел-Коммуникации";Ростовская обл.
909;4430000;4689999;260000;ПАО "Вымпел-Коммуникации";Краснодарский край
909;4690000;4719999;30000;ПАО "Вымпел-Коммуникации";Республика Адыгея
909;4720000;4779999;60000;ПАО "Вымпел-Коммуникации";Республика Северная Осетия - Алания
909;4780000;4869999;90000;ПАО "Вымпел-Коммуникации";Республика Дагестан
909;4870000;4929999;60000;ПАО "Вымпел-Коммуникации";Республика Кабардино-Балкарская
909;4930000;4999999;70000;ПАО "Вымпел-Коммуникации";Республика Карачаево-Черкесская
909;5000000;5079999;80000;ПАО "Вымпел-Коммуникации";Алтайский край
909;5080000;5089999;10000;ПАО "Вымпел-Коммуникации";Республика Алтай
909;5090000;5229999;140000;ПАО "Вымпел-Коммуникации";Кемеровская обл.
909;5230000;5239999;10000;ПАО "Вымпел-Коммуникации";Красноярский край
909;5240000;5279999;40000;ПАО "Вымпел-Коммуникации";Республика Хакасия
909;5280000;5289999;10000;ПАО "Вымпел-Коммуникации";Республика Тыва
909;5290000;5349999;60000;ПАО "Вымпел-Коммуникации";Новосибирская обл.
909;5350000;5379999;30000;ПАО "Вымпел-Коммуникации";Омская обл.
909;5380000;5499999;120000;ПАО "Вымпел-Коммуникации";Томская обл.
909;5500000;5569999;70000;ПАО "Вымпел-Коммуникации";Архангельская обл.
909;5570000;5649999;80000;ПАО "Вымпел-Коммуникации";Мурманская обл.
909;5650000;5669999;20000;ПАО "Вымпел-Коммуникации";Новгородская обл.
909;5670000;5729999;60000;ПАО "Вымпел-Коммуникации";Республика Карелия
909;5730000;5769999;40000;ПАО "Вымпел-Коммуникации";Псковская обл.
909;5770000;5939999;170000;ПАО "Вымпел-Коммуникации";г. Санкт-Петербург и Ленинградская область
909;5940000;5999999;60000;ПАО "Вымпел-Коммуникации";Вологодская обл.
909;6000000;6199999;200000;ПАО "Вымпел-Коммуникации";Оренбургская обл.
909;6200000;6999999;800000;ПАО "Вымпел-Коммуникации";г. Москва * Московская область
909;7000000;7069999;70000;ПАО "Вымпел-Коммуникации";Свердловская обл.
909;7070000;7079999;10000;ПАО "Вымпел-Коммуникации";Оренбургская обл.
909;7080000;7129999;50000;ПАО "Вымпел-Коммуникации";Ханты-Мансийский АО - Югра
909;7130000;7159999;30000;ПАО "Вымпел-Коммуникации";Республика Удмуртская
909;7160000;7219999;60000;ПАО "Вымпел-Коммуникации";Кировская обл.
909;7220000;7259999;40000;ПАО "Вымпел-Коммуникации";Курганская обл.
909;7260000;7339999;80000;ПАО "Вымпел-Коммуникации";Пермский край
909;7340000;7429999;90000;ПАО "Вымпел-Коммуникации";Тюменская обл.
909;7430000;7499999;70000;ПАО "Вымпел-Коммуникации";Челябинская обл.
909;7500000;7749999;250000;ПАО "Вымпел-Коммуникации";Ставропольский край
909;7750000;7999999;250000;ПАО "Вымпел-Коммуникации";Калининградская обл.
909;8000000;8099999;100000;ПАО "Вымпел-Коммуникации";Хабаровский край
909;8100000;8199999;100000;ПАО "Вымпел-Коммуникации";Амурская обл.
909;8200000;8299999;100000;ПАО "Вымпел-Коммуникации";Хабаровский край
909;8300000;8399999;100000;ПАО "Вымпел-Коммуникации";Камчатский край
909;8400000;8799999;400000;ПАО "Вымпел-Коммуникации";Хабаровский край
909;8800000;8829999;30000;ПАО "Вымпел-Коммуникации";Камчатский край
909;8830000;8859999;30000;ПАО "Вымпел-Коммуникации";Амурская обл.
909;8860000;8899999;40000;ПАО "Вымпел-Коммуникации";Хабаровский край
909;8900000;8929999;30000;ПАО "Вымпел-Коммуникации";Камчатский край
909;8930000;8959999;30000;ПАО "Вымпел-Коммуникации";Амурская обл.
909;8960000;8999999;40000;ПАО "Вымпел-Коммуникации";Хабаровский край
909;9000000;9999999;1000000;ПАО "Вымпел-Коммуникации";г. Москва * Московская область
910;0000000;0059999;60000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;0060000;0079999;20000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;0080000;0099999;20000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;0100000;0109999;10000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;0110000;0119999;10000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;0120000;0129999;10000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;0130000;0139999;10000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;0140000;0149999;10000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;0150000;0159999;10000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;0160000;0169999;10000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;0170000;0179999;10000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;0180000;0189999;10000;ПАО "Мобильные ТелеСистемы";Ивановская обл.
910;0190000;0199999;10000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;0200000;0209999;10000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;0210000;0219999;10000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;0220000;0229999;10000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;0230000;0239999;10000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;0240000;0249999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;0250000;0299999;50000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;0300000;0309999;10000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;0310000;0329999;20000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;0330000;0359999;30000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;0360000;0389999;30000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;0390000;0419999;30000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;0420000;0449999;30000;ПАО "Мобильные ТелеСистемы";Ивановская обл.
910;0450000;0479999;30000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;0480000;0509999;30000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;0510000;0539999;30000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;0540000;0569999;30000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;0570000;0599999;30000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;0600000;0629999;30000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;0630000;0659999;30000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;0660000;0689999;30000;ПАО "Мобильные ТелеСистемы";Тамбовская обл.
910;0690000;0719999;30000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;0720000;0749999;30000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;0750000;0779999;30000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;0780000;0809999;30000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;0810000;0899999;90000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;0900000;0999999;100000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;1000000;1099999;100000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;1100000;1199999;100000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;1200000;1499999;300000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;1500000;1699999;200000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;1700000;1899999;200000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;1900000;1999999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;2000000;2099999;100000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;2100000;2199999;100000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;2200000;2299999;100000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;2300000;2399999;100000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;2400000;2499999;100000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;2500000;2599999;100000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;2600000;2699999;100000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;2700000;2799999;100000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;2800000;2899999;100000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;2900000;2999999;100000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;3000000;3099999;100000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;3100000;3199999;100000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;3200000;3299999;100000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;3300000;3399999;100000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;3400000;3499999;100000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;3500000;3599999;100000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;3600000;3699999;100000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;3700000;3799999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;3800000;3999999;200000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;4000000;4999999;1000000;ПАО "Мобильные ТелеСистемы";г. Москва и Московская область
910;5000000;5099999;100000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;5100000;5299999;200000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;5300000;5399999;100000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;5400000;5499999;100000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;5500000;5599999;100000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;5600000;5799999;200000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;5800000;5899999;100000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;5900000;6099999;200000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;6100000;6399999;300000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;6400000;6409999;10000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;6410000;6459999;50000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;6460000;6499999;40000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;6500000;6599999;100000;ПАО "Мобильные ТелеСистемы";Тамбовская обл.
910;6600000;6619999;20000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;6620000;6669999;50000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;6670000;6699999;30000;ПАО "Мобильные ТелеСистемы";Ивановская обл.
910;6700000;6799999;100000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;6800000;6999999;200000;ПАО "Мобильные ТелеСистемы";Ивановская обл.
910;7000000;7049999;50000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;7050000;7099999;50000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;7100000;7299999;200000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;7300000;7319999;20000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;7320000;7329999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7330000;7359999;30000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;7360000;7379999;20000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;7380000;7389999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7390000;7399999;10000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;7400000;7409999;10000;ПАО "Мобильные ТелеСистемы";Курская обл.
910;7410000;7419999;10000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;7420000;7429999;10000;ПАО "Мобильные ТелеСистемы";Липецкая обл.
910;7430000;7439999;10000;ПАО "Мобильные ТелеСистемы";Брянская обл.
910;7440000;7449999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7450000;7459999;10000;ПАО "Мобильные ТелеСистемы";Белгородская обл.
910;7460000;7469999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7470000;7489999;20000;ПАО "Мобильные ТелеСистемы";Орловская обл.
910;7490000;7499999;10000;ПАО "Мобильные ТелеСистемы";Воронежская обл.
910;7500000;7599999;100000;ПАО "Мобильные ТелеСистемы";Тамбовская обл.
910;7600000;7699999;100000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;7700000;7799999;100000;ПАО "Мобильные ТелеСистемы";Владимирская обл.
910;7800000;7899999;100000;ПАО "Мобильные ТелеСистемы";Смоленская обл.
910;7900000;7999999;100000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;8000000;8099999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;8100000;8299999;200000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;8300000;8499999;200000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;8500000;8599999;100000;ПАО "Мобильные ТелеСистемы";Тамбовская обл.
910;8600000;8699999;100000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;8700000;8999999;300000;ПАО "Мобильные ТелеСистемы";Нижегородская обл.
910;9000000;9099999;100000;ПАО "Мобильные ТелеСистемы";Рязанская обл.
910;9100000;9199999;100000;ПАО "Мобильные ТелеСистемы";Калужская обл.
910;9200000;9299999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;9300000;9399999;100000;ПАО "Мобильные ТелеСистемы";Тверская обл.
910;9400000;9499999;100000;ПАО "Мобильные ТелеСистемы";Тульская обл.
910;9500000;9599999;100000;ПАО "Мобильные ТелеСистемы";Костромская обл.
910;9600000;9799999;200000;ПАО "Мобильные ТелеСистемы";Ярославская обл.
910;9800000;9999999;200000;ПАО "Мобильные ТелеСистемы";Ивановская обл.
911;0000000;0399999;400000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург * Ленинградская область
911;0400000;0449999;50000;ПАО "Мобильные ТелеСистемы";Новгородская обл.
911;0450000;0499999;50000;ПАО "Мобильные ТелеСистемы";Вологодская обл.
911;0500000;0549999;50000;ПАО "Мобильные ТелеСистемы";Республика Карелия
911;0550000;0599999;50000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;0600000;0649999;50000;ПАО "Мобильные ТелеСистемы";Мурманская обл.
911;0650000;0699999;50000;ПАО "Мобильные ТелеСистемы";Ненецкий АО
911;0700000;0749999;50000;ПАО "Мобильные ТелеСистемы";Калининградская обл.
911;0750000;0799999;50000;ПАО "Мобильные ТелеСистемы";Псковская обл.
911;0800000;2999999;2200000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург * Ленинградская область
911;3000000;3499999;500000;ПАО "Мобильные ТелеСистемы";Мурманская обл.
911;3500000;3999999;500000;ПАО "Мобильные ТелеСистемы";Псковская обл.
911;4000000;4399999;400000;ПАО "Мобильные ТелеСистемы";Республика Карелия
911;4400000;4499999;100000;ПАО "Мобильные ТелеСистемы";Вологодская обл.
911;4500000;4999999;500000;ПАО "Мобильные ТелеСистемы";Калининградская обл.
911;5000000;5499999;500000;ПАО "Мобильные ТелеСистемы";Вологодская обл.
911;5500000;5999999;500000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;6000000;6499999;500000;ПАО "Мобильные ТелеСистемы";Новгородская обл.
911;6500000;6549999;50000;ПАО "Мобильные ТелеСистемы";Ненецкий АО
911;6550000;6599999;50000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;6600000;6699999;100000;ПАО "Мобильные ТелеСистемы";Республика Карелия
911;6700000;6899999;200000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;6900000;6999999;100000;ПАО "Мобильные ТелеСистемы";Псковская обл.
911;7000000;7999999;1000000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург * Ленинградская область
911;8000000;8099999;100000;ПАО "Мобильные ТелеСистемы";Мурманская обл.
911;8100000;8499999;400000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург * Ленинградская область
911;8500000;8699999;200000;ПАО "Мобильные ТелеСистемы";Калининградская обл.
911;8700000;8799999;100000;ПАО "Мобильные ТелеСистемы";Архангельская обл.
911;8800000;8999999;200000;ПАО "Мобильные ТелеСистемы";Псковская обл.
911;9000000;9999999;1000000;ПАО "Мобильные ТелеСистемы";г. Санкт-Петербург * Ленинградская область
912;0000000;0009999;10000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;0010000;0029999;20000;ПАО "Ростелеком";Республика Коми
912;0030000;0079999;50000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;0080000;0099999;20000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;0100000;0299999;200000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;0300000;0529999;230000;ПАО "Мобильные ТелеСистемы";Свердловская обл.
912;0530000;0559999;30000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;0560000;0589999;30000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;0590000;0619999;30000;ПАО "Мобильные ТелеСистемы";Пермский край
912;0620000;0649999;30000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;0650000;0679999;30000;ПАО "Мобильные ТелеСистемы";Оренбургская обл.
912;0680000;0709999;30000;ПАО "Мобильные ТелеСистемы";Пермский край
912;0710000;0739999;30000;ПАО "Мобильные ТелеСистемы";Ямало-Ненецкий АО
912;0740000;0749999;10000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;0750000;0750999;1000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;0751000;0755999;5000;ПАО "Мобильные ТелеСистемы";Пермский край
912;0756000;0757999;2000;ПАО "Мобильные ТелеСистемы";Свердловская обл.
912;0758000;0759999;2000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
912;0760000;0761999;2000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;0762000;0766999;5000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;0769000;0769999;1000;ООО "МиАТел";Московская область * Москва|Московская область * Москва
912;0770000;0799999;30000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
912;0800000;0809999;10000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;0810000;0859999;50000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;0860000;0899999;40000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;0930000;0939999;10000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;0940000;0959999;20000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;0990000;0999999;10000;ОАО "МТТ";г. Москва * Московская область
912;1000000;1999999;1000000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;2000000;2999999;1000000;ПАО "Мобильные ТелеСистемы";Свердловская обл.
912;3000000;3299999;300000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;3300000;3399999;100000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;3400000;3599999;200000;ПАО "Мобильные ТелеСистемы";Оренбургская обл.
912;3600000;3799999;200000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;3800000;3999999;200000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
912;4000000;4099999;100000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;4100000;4199999;100000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;4200000;4399999;200000;ПАО "Мобильные ТелеСистемы";Ямало-Ненецкий АО
912;4400000;4699999;300000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;4700000;4799999;100000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;4800000;4999999;200000;ПАО "Мобильные ТелеСистемы";Пермский край
912;5000000;5099999;100000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;5100000;5199999;100000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;5200000;5299999;100000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;5300000;5399999;100000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;5400000;5699999;300000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;5700000;5799999;100000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;5800000;5999999;200000;ПАО "Мобильные ТелеСистемы";Пермский край
912;6000000;6999999;1000000;ПАО "Мобильные ТелеСистемы";Свердловская обл.
912;7000000;7399999;400000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;7400000;7699999;300000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;7700000;7799999;100000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;7800000;7899999;100000;ПАО "Мобильные ТелеСистемы";Пермский край
912;7900000;8099999;200000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;8100000;8199999;100000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;8200000;8299999;100000;ПАО "Мобильные ТелеСистемы";Кировская обл.
912;8300000;8399999;100000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;8400000;8499999;100000;ПАО "Мобильные ТелеСистемы";Оренбургская обл.
912;8500000;8599999;100000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;8600000;8699999;100000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;8700000;8799999;100000;ПАО "Мобильные ТелеСистемы";Удмуртская Республика
912;8800000;8899999;100000;ПАО "Мобильные ТелеСистемы";Пермский край
912;8900000;8999999;100000;ПАО "Мобильные ТелеСистемы";Челябинская обл.
912;9000000;9099999;100000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;9100000;9199999;100000;ПАО "Мобильные ТелеСистемы";Ямало-Ненецкий АО
912;9200000;9299999;100000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
912;9300000;9399999;100000;ПАО "Мобильные ТелеСистемы";Ханты-Мансийский АО - Югра
912;9400000;9699999;300000;ПАО "Мобильные ТелеСистемы";Республика Коми
912;9700000;9799999;100000;ПАО "Мобильные ТелеСистемы";Курганская обл.
912;9800000;9899999;100000;ПАО "Мобильные ТелеСистемы";Пермский край
912;9900000;9999999;100000;ПАО "Мобильные ТелеСистемы";Тюменская обл.
913;0000000;0199999;200000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;0200000;0299999;100000;ПАО "Мобильные ТелеСистемы";Алтайский край
913;0300000;0499999;200000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;0500000;0599999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия
913;0600000;0699999;100000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;0700000;0799999;100000;ПАО "Мобильные ТелеСистемы";Кемеровская обл.
913;0800000;0999999;200000;ПАО "Мобильные ТелеСистемы";Алтайский край
913;1000000;1199999;200000;ПАО "Мобильные ТелеСистемы";Томская обл.
913;1200000;1399999;200000;ПАО "Мобильные ТелеСистемы";Кемеровская обл.
913;1400000;1599999;200000;ПАО "Мобильные ТелеСистемы";Омская обл.
913;1600000;1999999;400000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;2000000;2099999;100000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;2100000;2799999;700000;ПАО "Мобильные ТелеСистемы";Алтайский край
913;2800000;3399999;600000;ПАО "Мобильные ТелеСистемы";Кемеровская обл.
913;3400000;3599999;200000;ПАО "Мобильные ТелеСистемы";Республика Тыва
913;3600000;3699999;100000;ПАО "Мобильные ТелеСистемы";Алтайский край
913;3700000;3999999;300000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;4000000;4399999;400000;ПАО "Мобильные ТелеСистемы";Кемеровская обл.
913;4400000;4499999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия
913;4500000;4899999;400000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;4900000;5399999;500000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;5400000;5499999;100000;ПАО "Мобильные ТелеСистемы";Республика Хакасия
913;5500000;5999999;500000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;6000000;6899999;900000;ПАО "Мобильные ТелеСистемы";Омская обл.
913;6900000;6999999;100000;ПАО "Мобильные ТелеСистемы";Республика Алтай
913;7000000;7999999;1000000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;8000000;8299999;300000;ПАО "Мобильные ТелеСистемы";Томская обл.
913;8300000;8399999;100000;ПАО "Мобильные ТелеСистемы";Красноярский край
913;8400000;8899999;500000;ПАО "Мобильные ТелеСистемы";Томская обл.
913;8900000;9599999;700000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;9600000;9799999;200000;ПАО "Мобильные ТелеСистемы";Омская обл.
913;9800000;9879999;80000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;9880000;9889999;10000;ПАО "Мобильные ТелеСистемы";Омская обл.
913;9890000;9899999;10000;ПАО "Мобильные ТелеСистемы";Новосибирская обл.
913;9900000;9999999;100000;ПАО "Мобильные ТелеСистемы";Республика Алтай
914;0000000;0149999;150000;ПАО "Мобильные ТелеСистемы";Иркутская обл.
914;0150000;0199999;50000;ПАО "Мобильные ТелеСистемы";Еврейская автономная обл.
914;0200000;0299999;100000;ПАО "Мобильные ТелеСистемы";Камчатский край
914;0300000;0399999;100000;ПАО "Мобильные ТелеСистемы";Магаданская обл.
914;0400000;0499999;100000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;0500000;0599999;100000;ПАО "Мобильные ТелеСистемы";Республика Бурятия
914;0600000;0649999;50000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;0650000;0799999;150000;ПАО "Мобильные ТелеСистемы";Приморский край
914;0800000;0829999;30000;ПАО "Мобильные ТелеСистемы";Чукотский АО
914;0830000;0999999;170000;ПАО "Мобильные ТелеСистемы";Сахалинская обл.
914;1000000;1199999;200000;ПАО "Мобильные ТелеСистемы";Республика Саха /Якутия/
914;1200000;1499999;300000;ПАО "Мобильные ТелеСистемы";Забайкальский край
914;1500000;2199999;700000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;2200000;3099999;900000;ПАО "Мобильные ТелеСистемы";Республика Саха /Якутия/
914;3100000;3199999;100000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;3200000;3499999;300000;ПАО "Мобильные ТелеСистемы";Приморский край
914;3500000;3699999;200000;ПАО "Мобильные ТелеСистемы";Забайкальский край
914;3700000;3799999;100000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;3800000;3999999;200000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;4000000;4299999;300000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;4300000;5299999;1000000;ПАО "Мобильные ТелеСистемы";Забайкальский край
914;5300000;5329999;30000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;5330000;5379999;50000;ПАО "Мобильные ТелеСистемы";Чукотский АО
914;5380000;5392999;13000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;5400000;5499999;100000;ПАО "Мобильные ТелеСистемы";Хабаровский край
914;5500000;6199999;700000;ПАО "Мобильные ТелеСистемы";Амурская обл.
914;6200000;6299999;100000;ПАО "Мобильные ТелеСистемы";Камчатский край
914;6300000;6399999;100000;ПАО "Мобильные ТелеСистемы";Республика Бурятия
914;6400000;6499999;100000;ПАО "Мобильные ТелеСистемы";Сахалинская обл.
